id,name,url,price,knowledge_id,platform_id,size_id,created_at,updated_at
1,Levi's リーバイス デニムパンツ ヴィンテージ 501 66前期 ビックE トップボタン裏6 赤耳 デニム パンツ インディゴブルー系 メンズ【古着】【中古】,https://hb.afl.rakuten.co.jp/hgc/g00rc6oe.brn1q695.g00rc6oe.brn1ra68/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fauc-life-sendai%2F3i07155gb0640xa07%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fauc-life-sendai%2Fi%2F10221801%2F,418979,5,1,999,2023-09-30 12:30:42.414466,2023-09-30 12:30:42.414466
2,リーバイス 70s 501 66前期 BIGE ストレート デニムパンツ W31 Levi's ボタンフライ ヴィンテージ メンズ 【中古】 【R221208】,https://hb.afl.rakuten.co.jp/hgc/g00rf2ie.brn1q1e1.g00rf2ie.brn1r8a3/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fspace01%2Fja-lng-11764-mje%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fspace01%2Fi%2F10575777%2F,327800,5,1,999,2023-09-30 12:30:42.414466,2023-09-30 12:30:42.414466
3,Levi's ヴィンテージ リーバイス パンツ 501 66前期 BigE デニムパンツ 濃紺 ビッグサイズ 70s インディゴ 40×34 ボトムス ズボン ジーパン ジーンズ 【メンズ】【中古】【K3800】,https://hb.afl.rakuten.co.jp/hgc/g00s4pxe.brn1q9b0.g00s4pxe.brn1r201/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fbeegle%2F11120522%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fbeegle%2Fi%2F10179452%2F,251800,5,1,999,2023-09-30 12:30:42.414466,2023-09-30 12:30:42.414466
4,リーバイス 501 66前期 赤耳 テーパード デニム パンツ W32 Levi's メンズ 【中古】 【R221210】,https://hb.afl.rakuten.co.jp/hgc/g00rf2ie.brn1q1e1.g00rf2ie.brn1r8a3/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fspace01%2Fja-lng-13090-mje%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fspace01%2Fi%2F10576189%2F,96800,5,1,999,2023-09-30 12:30:42.414466,2023-09-30 12:30:42.414466
5,【中古】リーバイス Levis 70S 66前期 501 裏刻印6 BIG E 赤耳 Single ボタンフライ デニムパンツ メンズ 表記無,https://hb.afl.rakuten.co.jp/hgc/g00rbope.brn1q62a.g00rbope.brn1r58a/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fbazzstore%2F1127762371656%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fbazzstore%2Fi%2F11593273%2F,91289,5,1,999,2023-09-30 12:30:42.414466,2023-09-30 12:30:42.414466
6,LEVIS VINTAGE 70s 501 66前期 INDIGO 85% リーバイス ヴィンテージ デニム 大名店【中古】,https://hb.afl.rakuten.co.jp/hgc/g00s3vhe.brn1q95d.g00s3vhe.brn1r256/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fec-union3%2Fda220805-3%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fec-union3%2Fi%2F10096199%2F,89100,5,1,999,2023-09-30 12:30:42.414466,2023-09-30 12:30:42.414466
7,Levi's リーバイス ヴィンテージ オリジナル 501 66前期 Big E 両面不均等V 並行ステッチ デニム パンツ インディゴブルー系 サイズ表記無 メンズ【古着】【中古】,https://hb.afl.rakuten.co.jp/hgc/g00rc6oe.brn1q695.g00rc6oe.brn1ra68/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fauc-life-sendai%2F3i15305tg0155xa39%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fauc-life-sendai%2Fi%2F10223048%2F,88902,5,1,999,2023-09-30 12:30:42.414466,2023-09-30 12:30:42.414466
8,LEVIS VINTAGE 70s 501 66前期 スモールe バッチ無 リーバイス ヴィンテージ デニム ジーンズ 大名店【中古】,https://hb.afl.rakuten.co.jp/hgc/g00s3vhe.brn1q95d.g00s3vhe.brn1r256/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fec-union3%2Fda220619-20%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fec-union3%2Fi%2F10095086%2F,83600,5,1,999,2023-09-30 12:30:42.414466,2023-09-30 12:30:42.414466
9,リーバイス 501 ネイビー LEVI'S 66前期 BIGE 初期 Vステッチ ウエストシングル VINTAGE ヴィンテージ ジーンズ デニムパンツ　ビッグE 古着 【中古】　wv1912-0165,https://hb.afl.rakuten.co.jp/hgc/g00tiqde.brn1q1ff.g00tiqde.brn1r3b2/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fwego-vintage%2Fwv1912-0165%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fwego-vintage%2Fi%2F10002286%2F,82500,5,1,999,2023-09-30 12:30:42.414466,2023-09-30 12:30:42.414466
10,Levi's 銀座店 リーバイス SALE ヴィンテージ 501 66 前期 W31 デニム パンツ,https://hb.afl.rakuten.co.jp/hgc/g00qjbve.brn1q71a.g00qjbve.brn1r899/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fatlantis%2F089075%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fatlantis%2Fi%2F10100275%2F,79900,5,1,999,2023-09-30 12:30:42.414466,2023-09-30 12:30:42.414466
